repo,selected_skill_count,analyzed_skill_count,analyzed_section_count,median_skill_section_pairwise_cosine,bootstrap_ci_low,bootstrap_ci_high,median_skill_section_leave_one_out_cosine,vs_rest_p_value,vs_rest_bh_q_value,vs_rest_cliffs_delta
ClawBio__ClawBio,93,93,1660,0.3410766128747345,0.32941827486521263,0.3488438551953963,0.5012906062664735,0.642733409149062,0.642733409149062,-0.029872534358755254
CloudAI-X__claude-workflow-v2,14,14,263,0.39777641269846686,0.36353939812438796,0.42384601405356437,0.5620940343437746,4.899763215412421e-06,1.564667481279293e-05,0.7128215854423761
Eronred__aso-skills,40,40,611,0.34178043933046226,0.33442374526771945,0.35881483784293344,0.5060268500860226,0.06142978487015448,0.0767872310876931,0.17602739726027394
K-Dense-AI__scientific-agent-skills,100,100,3504,0.327327359246803,0.3207291148990845,0.3359624002322853,0.49587502519175586,0.012631516323272167,0.02105252720545361,-0.1557118927973199
NVIDIA__SkillSpector,23,23,52,0.3593829756954541,0.35050357441075664,0.37481975230429193,0.5131207876198903,0.036629089972474944,0.05232727138924992,0.25609598761450125
NVIDIA__skills,100,100,1652,0.308288136175187,0.30003408986747604,0.31474258947759176,0.49014955886996414,1.0520199243116139e-20,9.237624410247902e-20,-0.5825125628140704
Owl-Listener__designer-skills,96,96,664,0.3827838618457158,0.3715446425960814,0.3972946102009898,0.5214286402679498,1.8475248820495804e-20,9.237624410247902e-20,0.588740987243483
Prat011__awesome-llm-skills,31,31,664,0.37824194321632776,0.3620891628394361,0.3930859031509154,0.5262807583189564,6.258669925117172e-06,1.564667481279293e-05,0.4796086408989635
aipoch__medical-research-skills,100,100,1971,0.34030545188772027,0.33091497897397115,0.3415263962610614,0.5089457210236041,0.37664245085582626,0.41849161206202923,-0.055209380234505834
alirezarezvani__claude-skills,100,100,1811,0.32768055768696475,0.3203113423573796,0.332640306508861,0.49088107601838005,0.006028830338409778,0.012057660676819557,-0.17145728643216085
